b,AvgB,Th,AvgL,AvgTime
3,5,2,93.0,3.95798959184
3,5,2,94.0,3.97722878788
3,5,2,95.0,3.9890357
3,5,2,96.0,4.00477217822
3,5,2,97.0,4.017335
3,5,2,98.0,4.03530553398
3,5,2,99.0,4.04905134615
4,2,2,3.0,2.248126
4,2,2,4.0,2.41570333333
4,2,2,5.0,2.42924
4,2,2,6.0,2.5616775
4,2,2,7.0,2.8881
4,2,2,8.0,3.150249
4,2,2,9.0,3.18140181818
4,2,2,10.0,3.207755
4,2,2,11.0,3.23242153846
4,2,2,12.0,3.25059428571
4,2,2,13.0,3.26799933333
4,2,2,14.0,3.281783125
4,2,2,15.0,3.29410176471
4,2,2,16.0,3.30665277778
4,2,2,17.0,3.31674842105
4,2,2,18.0,3.2745925
4,2,2,19.0,3.23935285714
4,2,2,20.0,3.20424545455
4,2,2,21.0,3.1749773913
4,2,2,22.0,3.1854225
4,2,2,23.0,3.2815448
4,2,2,24.0,3.36616
4,2,2,25.0,3.4453037037
4,2,2,26.0,3.51638285714
4,2,2,27.0,3.58974931034
4,2,2,28.0,3.65258266667
4,2,2,29.0,3.71079483871
4,2,2,30.0,3.76659125
4,2,2,31.0,3.81870666667
4,2,2,32.0,3.86742794118
4,2,2,33.0,3.85802942857
4,2,2,34.0,3.84734777778
4,2,2,35.0,3.83791837838
4,2,2,36.0,3.82845763158
4,2,2,37.0,3.82075487179
4,2,2,38.0,3.81189975
4,2,2,39.0,3.80545780488
4,2,2,40.0,3.79898761905
4,2,2,41.0,3.79059744186
4,2,2,42.0,3.78262590909
4,2,2,43.0,3.77859222222
4,2,2,44.0,3.77283152174
4,2,2,45.0,3.76614106383
4,2,2,46.0,3.76024291667
4,2,2,47.0,3.75362938775
4,2,2,48.0,3.7505136
4,2,2,49.0,3.74385019608
4,2,2,50.0,3.74276384615
4,2,2,51.0,3.73587528302
4,2,2,52.0,3.73244
4,2,2,53.0,3.72717727273
4,2,2,54.0,3.72284339286
4,2,2,55.0,3.72029631579
4,2,2,56.0,3.71626810345
4,2,2,57.0,3.71136728814
4,2,2,58.0,3.71039933333
4,2,2,59.0,3.70402081967
4,2,2,60.0,3.70207370968
4,2,2,61.0,3.69846238095
4,2,2,62.0,3.69505453125
4,2,2,63.0,3.69155015385
4,2,2,64.0,3.68806136364
4,2,2,65.0,3.68865432836
4,2,2,66.0,3.66797735294
4,2,2,67.0,3.65308898551
4,2,2,68.0,3.63470728571
4,2,2,69.0,3.61934732394
4,2,2,70.0,3.60496833333
4,2,2,71.0,3.58780493151
4,2,2,72.0,3.57487689189
4,2,2,73.0,3.55782666667
