b,AvgB,Th,AvgL,AvgTime
3,3,4,25.0,6.14986428571
3,3,4,26.0,6.15816551724
3,3,4,27.0,6.19687333333
3,3,4,28.0,6.21449032258
3,3,4,29.0,6.18651875
3,3,4,30.0,6.16243636364
3,3,4,31.0,6.14895882353
3,3,4,32.0,6.12130285714
3,3,4,33.0,6.11481666667
3,3,4,34.0,6.09837297297
3,3,4,35.0,6.08053157895
3,3,4,36.0,6.07018974359
3,3,4,37.0,6.04667
3,3,4,38.0,6.03405853659
3,3,4,39.0,6.02832380952
3,3,4,40.0,6.01378139535
3,3,4,41.0,5.99333181818
3,3,4,42.0,5.99188888889
3,3,4,43.0,5.9786
3,3,4,44.0,5.9682
3,3,4,45.0,5.95780416667
3,3,4,46.0,5.94655918367
3,3,4,47.0,5.93544
3,3,4,48.0,5.93415686275
3,3,4,49.0,5.92753076923
3,3,4,50.0,5.91797358491
3,3,4,51.0,5.91318148148
3,3,4,52.0,5.89765818182
3,3,4,53.0,5.88475
3,3,4,54.0,5.88209473684
3,3,4,55.0,5.96013793103
3,3,4,56.0,6.05815254237
3,3,4,57.0,6.14285
3,3,4,58.0,6.24127868852
3,3,4,59.0,6.3207483871
3,3,4,60.0,6.40355555556
3,3,4,61.0,6.463978125
3,3,4,62.0,6.54828307692
3,3,4,63.0,6.62801515152
3,7,1,3.0,1.4038
3,7,1,4.0,1.41587272727
3,7,1,5.0,1.50731666667
3,7,1,6.0,1.60558461538
3,7,1,7.0,1.64412857143
3,7,1,8.0,1.63228
3,7,1,9.0,1.6276875
3,7,1,10.0,1.61808235294
3,7,1,11.0,1.60754444444
3,7,1,12.0,1.60445263158
3,7,1,13.0,1.59872
3,7,1,14.0,1.59624761905
3,7,1,15.0,1.682
3,7,1,16.0,1.75060869565
3,7,1,17.0,1.832975
3,7,1,18.0,1.909
3,7,1,19.0,1.97262307692
3,7,1,20.0,2.02217777778
3,7,1,21.0,2.05711428571
3,7,1,22.0,2.12466206897
3,7,1,23.0,2.15052666667
